Event,Event Number,EventDate,Registered,Attended,No show rate
SQL Saturday Jacksonville 2022,1022,5/14/2022,406,252,38%
SQL Saturday New Jersey 2022,1027,7/27/2022,120,90,25%
SQL Saturday Baton Rouge 2022,1026,8/6/2022,483,183,62%
SQL Saturday Los Angeles 2022,1029,8/13/2022,209,104,50%
SQL Saturday Denver 2022,1034,9/17/2022,,,0%
SQL Saturday Boston 2022,1031,10/8/2022,283,142,50%
SQL Saturday Orlando 2022,1030,10/8/2022,240,110,54%
SQL Saturday Memphis 2022,1033,10/15/2022,75,30,60%
SQL Saturday Toronto 2022,1032,10/22/2022,120,115,4%
SQL Saturday Richmond 2022,1036,10/22/2022,115,60,48%
SQL Saturday Oregon 2022,1035,11/12/2022,218,,100%
SQL Saturday Lima 2022,1038,12/10/2022,90,50,44%
SQL Saturday Lima 2022 Virtual,1038,12/10/2022,,100,0%
SQL Saturday Nepal 2022,1025,12/10/2022,,57,0%
SQL Saturday MN 2022 Virtual),1028,12/3/2022,,70,0%
,,,,,
,,,,,
