Date,Event,Registered,Attended,No show rate,Waitlist,Recordings,Charge For Lunch,Notes
1/17/2026,SQL Saturday Lima 2026 (#1138),,,0%,,,,
8/22/2026,SQL Saturday Belo Horizonte 2026 (#1132),,,0%,,,,
3/21/2026,SQL Saturday Atlanta 2026 - AI & BI (#1127),464,257,45%,,,,
4/11/2026,SQL Saturday Richmond 2026 (#1135),,,0%,,,,
4/11/2026,SQL Saturday Joinville 2026 (#1139),,,0%,,,,
4/18/2026,"SeaQL 2026 - Brouwersdam, NL (#1140)",,,0%,,,,
3/28/2026,SQL Saturday Sao Paulo 2026 (#1142),220,200,9%,,,,
4/11/2026,Day of Data Richmond 2026 (#1135),167,96,43%,,,,
4/11/2026,SQL Saturday Joinville 2026 (#1139),,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,Lost a box of tickets. Not everyone was scanned in. We gave away at least 350 bags.
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,0%,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
